FOODID;SPECDIET
336;UNSWEET
337;GLUTFREE
337;MILKFREE
337;LACOVEGE
337;CHOLFREE
337;LACSFREE
337;LACVEGE
337;VEGAN
337;EGGFREE
337;LOWPROT
337;NAGLUFRE
337;SALTFREE
337;SOYAFREE
337;UNSWEET
338;GLUTFREE
338;MILKFREE
338;LACOVEGE
338;CHOLFREE
338;LACSFREE
338;LACVEGE
338;VEGAN
338;EGGFREE
338;LOWPROT
338;NAGLUFRE
338;SALTFREE
338;SOYAFREE
338;UNSWEET
339;GLUTFREE
339;MILKFREE
339;LACOVEGE
339;CHOLFREE
339;LACSFREE
339;LACVEGE
339;VEGAN
339;EGGFREE
339;LOWPROT
339;NAGLUFRE
339;SALTFREE
339;SOYAFREE
339;UNSWEET
340;GLUTFREE
340;MILKFREE
340;LACOVEGE
340;CHOLFREE
340;LACSFREE
340;FATFREE
340;LACVEGE
340;VEGAN
340;EGGFREE
340;LOWPROT
340;NAGLUFRE
340;SALTFREE
340;SOYAFREE
340;UNSWEET
342;GLUTFREE
342;MILKFREE
342;LACOVEGE
342;CHOLFREE
342;LACSFREE
342;FATFREE
342;LACVEGE
342;VEGAN
342;EGGFREE
342;LOWPROT
342;NAGLUFRE
342;SOYAFREE
343;GLUTFREE
343;MILKFREE
343;LACOVEGE
343;CHOLFREE
343;LACSFREE
343;LACVEGE
343;VEGAN
343;HIGHSALT
343;EGGFREE
343;NAGLUFRE
343;SOYAFREE
343;UNSWEET
344;GLUTFREE
344;MILKFREE
344;LACOVEGE
344;CHOLFREE
344;LACSFREE
344;LACVEGE
344;VEGAN
344;HIGHSALT
344;EGGFREE
344;NAGLUFRE
344;SOYAFREE
344;UNSWEET
345;GLUTFREE
345;MILKFREE
345;LACOVEGE
345;CHOLFREE
345;LACSFREE
345;FATFREE
345;LACVEGE
345;VEGAN
345;EGGFREE
345;NAGLUFRE
345;SALTFREE
345;SOYAFREE
345;UNSWEET
346;GLUTFREE
346;MILKFREE
346;LACOVEGE
346;CHOLFREE
346;LACSFREE
346;LACVEGE
346;VEGAN
346;EGGFREE
346;LOWPROT
346;NAGLUFRE
346;SALTFREE
346;SOYAFREE
346;UNSWEET
347;GLUTFREE
347;MILKFREE
347;LACOVEGE
347;CHOLFREE
347;LACSFREE
347;FATFREE
347;LACVEGE
347;VEGAN
347;HIGHSALT
347;EGGFREE
347;LOWPROT
347;NAGLUFRE
347;SOYAFREE
348;GLUTFREE
348;MILKFREE
348;LACOVEGE
348;CHOLFREE
348;LACSFREE
348;FATFREE
348;LACVEGE
348;VEGAN
348;HIGHSALT
348;EGGFREE
348;LOWPROT
348;NAGLUFRE
348;SOYAFREE
350;GLUTFREE
350;MILKFREE
350;LACOVEGE
350;CHOLFREE
350;LACSFREE
350;LACVEGE
350;VEGAN
350;EGGFREE
350;LOWPROT
350;NAGLUFRE
350;SALTFREE
350;SOYAFREE
350;UNSWEET
351;GLUTFREE
351;MILKFREE
